RegionalMember,Year,Inflation,Unit of Measurement, Subregion, Country Code
Kazakhstan,2024 Forecast (ADO Sep 2023),7.6,%,Caucasus and Central Asia,KAZ
Kyrgyz Republic,2020,6.3,%,Caucasus and Central Asia,KGZ
Kyrgyz Republic,2021,11.9,%,Caucasus and Central Asia,KGZ
Kyrgyz Republic,2022,13.9,%,Caucasus and Central Asia,KGZ
Kyrgyz Republic,2023 Forecast (ADO Apr 2023),12,%,Caucasus and Central Asia,KGZ
Kyrgyz Republic,2023 Forecast (ADO Sep 2023),12,%,Caucasus and Central Asia,KGZ
Kyrgyz Republic,2024 Forecast (ADO Apr 2023),8.6,%,Caucasus and Central Asia,KGZ
Kyrgyz Republic,2024 Forecast (ADO Sep 2023),8.6,%,Caucasus and Central Asia,KGZ
Tajikistan,2020,9.4,%,Caucasus and Central Asia,TJK
Tajikistan,2021,8,%,Caucasus and Central Asia,TJK
Tajikistan,2022,4.2,%,Caucasus and Central Asia,TJK
Tajikistan,2023 Forecast (ADO Apr 2023),7,%,Caucasus and Central Asia,TJK
Tajikistan,2023 Forecast (ADO Sep 2023),5.5,%,Caucasus and Central Asia,TJK
Tajikistan,2024 Forecast (ADO Apr 2023),6.5,%,Caucasus and Central Asia,TJK
Tajikistan,2024 Forecast (ADO Sep 2023),6,%,Caucasus and Central Asia,TJK
Turkmenistan,2020,10,%,Caucasus and Central Asia,TKM
Turkmenistan,2021,12.5,%,Caucasus and Central Asia,TKM
Turkmenistan,2022,10,%,Caucasus and Central Asia,TKM
Turkmenistan,2023 Forecast (ADO Apr 2023),10,%,Caucasus and Central Asia,TKM
Turkmenistan,2023 Forecast (ADO Sep 2023),8,%,Caucasus and Central Asia,TKM
Turkmenistan,2024 Forecast (ADO Apr 2023),10,%,Caucasus and Central Asia,TKM
Turkmenistan,2024 Forecast (ADO Sep 2023),8,%,Caucasus and Central Asia,TKM
Uzbekistan,2020,12.9,%,Caucasus and Central Asia,UZB
Uzbekistan,2021,10.7,%,Caucasus and Central Asia,UZB
Uzbekistan,2022,11.4,%,Caucasus and Central Asia,UZB
Uzbekistan,2023 Forecast (ADO Apr 2023),11,%,Caucasus and Central Asia,UZB
Uzbekistan,2023 Forecast (ADO Sep 2023),11,%,Caucasus and Central Asia,UZB
Uzbekistan,2024 Forecast (ADO Apr 2023),10,%,Caucasus and Central Asia,UZB
Uzbekistan,2024 Forecast (ADO Sep 2023),10,%,Caucasus and Central Asia,UZB
East Asia,2020,2.2,%,East Asia,
East Asia,2021,1.1,%,East Asia,
East Asia,2022,2.3,%,East Asia,
East Asia,2023 Forecast (ADO Apr 2023),2.3,%,East Asia,
East Asia,2023 Forecast (ADO Sep 2023),1,%,East Asia,
East Asia,2024 Forecast (ADO Apr 2023),2,%,East Asia,
East Asia,2024 Forecast (ADO Sep 2023),2.1,%,East Asia,
"Hong Kong, China",2020,0.3,%,East Asia,HKG
"Hong Kong, China",2021,1.6,%,East Asia,HKG
"Hong Kong, China",2022,1.9,%,East Asia,HKG
"Hong Kong, China",2023 Forecast (ADO Apr 2023),2.3,%,East Asia,HKG
"Hong Kong, China",2023 Forecast (ADO Sep 2023),2.5,%,East Asia,HKG
"Hong Kong, China",2024 Forecast (ADO Apr 2023),2.1,%,East Asia,HKG
"Hong Kong, China",2024 Forecast (ADO Sep 2023),2.1,%,East Asia,HKG
Mongolia,2020,3.7,%,East Asia,MNG
Mongolia,2021,7.3,%,East Asia,MNG
Mongolia,2022,15.2,%,East Asia,MNG
Mongolia,2023 Forecast (ADO Apr 2023),10.9,%,East Asia,MNG
Mongolia,2023 Forecast (ADO Sep 2023),10.5,%,East Asia,MNG
Mongolia,2024 Forecast (ADO Apr 2023),8.7,%,East Asia,MNG
Mongolia,2024 Forecast (ADO Sep 2023),8.6,%,East Asia,MNG
People's Republic of China,2020,2.5,%,East Asia,CHN
People's Republic of China,2021,0.9,%,East Asia,CHN
People's Republic of China,2022,2,%,East Asia,CHN
People's Republic of China,2023 Forecast (ADO Apr 2023),2.2,%,East Asia,CHN
People's Republic of China,2023 Forecast (ADO Sep 2023),0.7,%,East Asia,CHN
People's Republic of China,2024 Forecast (ADO Apr 2023),2,%,East Asia,CHN
People's Republic of China,2024 Forecast (ADO Sep 2023),2,%,East Asia,CHN
Republic of Korea,2020,0.5,%,East Asia,KOR
Republic of Korea,2021,2.5,%,East Asia,KOR
Republic of Korea,2022,5.1,%,East Asia,KOR
Republic of Korea,2023 Forecast (ADO Apr 2023),3.2,%,East Asia,KOR
Republic of Korea,2023 Forecast (ADO Sep 2023),3.3,%,East Asia,KOR
Republic of Korea,2024 Forecast (ADO Apr 2023),2,%,East Asia,KOR
Republic of Korea,2024 Forecast (ADO Sep 2023),2.2,%,East Asia,KOR
"Taipei,China",2020,-0.2,%,East Asia,TWN
"Taipei,China",2021,2,%,East Asia,TWN
"Taipei,China",2022,2.9,%,East Asia,TWN
"Taipei,China",2023 Forecast (ADO Apr 2023),2,%,East Asia,TWN
"Taipei,China",2023 Forecast (ADO Sep 2023),2,%,East Asia,TWN
"Taipei,China",2024 Forecast (ADO Apr 2023),2,%,East Asia,TWN
"Taipei,China",2024 Forecast (ADO Sep 2023),2,%,East Asia,TWN
South Asia,2020,6.5,%,South Asia,
South Asia,2021,5.8,%,South Asia,
South Asia,2022,8.2,%,South Asia,
South Asia,2023 Forecast (ADO Apr 2023),8.1,%,South Asia,
South Asia,2023 Forecast (ADO Sep 2023),8.6,%,South Asia,
South Asia,2024 Forecast (ADO Apr 2023),5.8,%,South Asia,
South Asia,2024 Forecast (ADO Sep 2023),6.6,%,South Asia,
Afghanistan,2020,5.6,%,South Asia,AFG
Afghanistan,2021,5.2,%,South Asia,AFG
Afghanistan,2022,13.8,%,South Asia,AFG
Afghanistan,2023 Forecast (ADO Apr 2023),,%,South Asia,AFG
Afghanistan,2023 Forecast (ADO Sep 2023),,%,South Asia,AFG
Afghanistan,2024 Forecast (ADO Apr 2023),,%,South Asia,AFG
Afghanistan,2024 Forecast (ADO Sep 2023),,%,South Asia,AFG
Bangladesh,2020,5.7,%,South Asia,BGD
Bangladesh,2021,5.6,%,South Asia,BGD
Bangladesh,2022,6.2,%,South Asia,BGD
Bangladesh,2023 Forecast (ADO Apr 2023),8.7,%,South Asia,BGD
Bangladesh,2023 Forecast (ADO Sep 2023),9,%,South Asia,BGD
Bangladesh,2024 Forecast (ADO Apr 2023),6.6,%,South Asia,BGD
Bangladesh,2024 Forecast (ADO Sep 2023),6.6,%,South Asia,BGD
Bhutan,2020,5.6,%,South Asia,BTN
Bhutan,2021,7.3,%,South Asia,BTN
Bhutan,2022,5.6,%,South Asia,BTN
Bhutan,2023 Forecast (ADO Apr 2023),5.5,%,South Asia,BTN
Bhutan,2023 Forecast (ADO Sep 2023),4.1,%,South Asia,BTN
Bhutan,2024 Forecast (ADO Apr 2023),5.1,%,South Asia,BTN
Bhutan,2024 Forecast (ADO Sep 2023),5.1,%,South Asia,BTN
India,2020,6.2,%,South Asia,IND
India,2021,5.5,%,South Asia,IND
India,2022,6.7,%,South Asia,IND
India,2023 Forecast (ADO Apr 2023),5,%,South Asia,IND
India,2023 Forecast (ADO Sep 2023),5.5,%,South Asia,IND
India,2024 Forecast (ADO Apr 2023),4.5,%,South Asia,IND
India,2024 Forecast (ADO Sep 2023),4.2,%,South Asia,IND
Maldives,2020,-1.4,%,South Asia,MDV
Maldives,2021,0.5,%,South Asia,MDV
Maldives,2022,2.3,%,South Asia,MDV
Maldives,2023 Forecast (ADO Apr 2023),4.5,%,South Asia,MDV
Maldives,2023 Forecast (ADO Sep 2023),3.5,%,South Asia,MDV
Maldives,2024 Forecast (ADO Apr 2023),2,%,South Asia,MDV
Maldives,2024 Forecast (ADO Sep 2023),2.5,%,South Asia,MDV
Nepal,2020,6.2,%,South Asia,NPL
Nepal,2021,3.6,%,South Asia,NPL
Nepal,2022,6.3,%,South Asia,NPL
Nepal,2023 Forecast (ADO Apr 2023),7.4,%,South Asia,NPL
Nepal,2023 Forecast (ADO Sep 2023),7.7,%,South Asia,NPL
Nepal,2024 Forecast (ADO Apr 2023),6.2,%,South Asia,NPL
Nepal,2024 Forecast (ADO Sep 2023),6.2,%,South Asia,NPL
Pakistan,2020,10.7,%,South Asia,PAK
Pakistan,2021,8.9,%,South Asia,PAK
Pakistan,2022,12.2,%,South Asia,PAK
Pakistan,2023 Forecast (ADO Apr 2023),27.5,%,South Asia,PAK
Pakistan,2023 Forecast (ADO Sep 2023),29.2,%,South Asia,PAK
Pakistan,2024 Forecast (ADO Apr 2023),15,%,South Asia,PAK
Pakistan,2024 Forecast (ADO Sep 2023),25,%,South Asia,PAK
Sri Lanka,2020,4.6,%,South Asia,LKA
Sri Lanka,2021,6,%,South Asia,LKA
Sri Lanka,2022,46.4,%,South Asia,LKA
Sri Lanka,2023 Forecast (ADO Apr 2023),24.6,%,South Asia,LKA
Sri Lanka,2023 Forecast (ADO Sep 2023),18.7,%,South Asia,LKA
Sri Lanka,2024 Forecast (ADO Apr 2023),5.5,%,South Asia,LKA
Sri Lanka,2024 Forecast (ADO Sep 2023),5.5,%,South Asia,LKA
Southeast Asia,2020,1.5,%,Southeast Asia,
Southeast Asia,2021,2,%,Southeast Asia,
Southeast Asia,2022,5.1,%,Southeast Asia,
Southeast Asia,2023 Forecast (ADO Apr 2023),4.4,%,Southeast Asia,
Southeast Asia,2023 Forecast (ADO Sep 2023),4.2,%,Southeast Asia,
Southeast Asia,2024 Forecast (ADO Apr 2023),3.3,%,Southeast Asia,
Southeast Asia,2024 Forecast (ADO Sep 2023),3.3,%,Southeast Asia,
Brunei Darussalam,2020,1.9,%,Southeast Asia,BRN
Brunei Darussalam,2021,1.7,%,Southeast Asia,BRN
Brunei Darussalam,2022,3.7,%,Southeast Asia,BRN
Brunei Darussalam,2023 Forecast (ADO Apr 2023),2,%,Southeast Asia,BRN
Brunei Darussalam,2023 Forecast (ADO Sep 2023),1.5,%,Southeast Asia,BRN
Brunei Darussalam,2024 Forecast (ADO Apr 2023),1.6,%,Southeast Asia,BRN
Brunei Darussalam,2024 Forecast (ADO Sep 2023),1.4,%,Southeast Asia,BRN
Cambodia,2020,2.9,%,Southeast Asia,KHM
Cambodia,2021,2.9,%,Southeast Asia,KHM
Cambodia,2022,5.3,%,Southeast Asia,KHM
Cambodia,2023 Forecast (ADO Apr 2023),3,%,Southeast Asia,KHM
Cambodia,2023 Forecast (ADO Sep 2023),3,%,Southeast Asia,KHM
Cambodia,2024 Forecast (ADO Apr 2023),4,%,Southeast Asia,KHM
Cambodia,2024 Forecast (ADO Sep 2023),4,%,Southeast Asia,KHM
Indonesia,2020,2,%,Southeast Asia,IDN
Indonesia,2021,1.6,%,Southeast Asia,IDN
Indonesia,2022,4.2,%,Southeast Asia,IDN
Indonesia,2023 Forecast (ADO Apr 2023),4.2,%,Southeast Asia,IDN
Indonesia,2023 Forecast (ADO Sep 2023),3.6,%,Southeast Asia,IDN
Indonesia,2024 Forecast (ADO Apr 2023),3,%,Southeast Asia,IDN
Indonesia,2024 Forecast (ADO Sep 2023),3,%,Southeast Asia,IDN
Lao People’s Dem. Rep.,2020,5.1,%,Southeast Asia,LAO
Lao People’s Dem. Rep.,2021,3.8,%,Southeast Asia,LAO
Lao People’s Dem. Rep.,2022,23,%,Southeast Asia,LAO
Lao People’s Dem. Rep.,2023 Forecast (ADO Apr 2023),16,%,Southeast Asia,LAO
Lao People’s Dem. Rep.,2023 Forecast (ADO Sep 2023),28,%,Southeast Asia,LAO
Lao People’s Dem. Rep.,2024 Forecast (ADO Apr 2023),5,%,Southeast Asia,LAO
Lao People’s Dem. Rep.,2024 Forecast (ADO Sep 2023),10,%,Southeast Asia,LAO
Malaysia,2020,-1.1,%,Southeast Asia,MYS
Malaysia,2021,2.5,%,Southeast Asia,MYS
Malaysia,2022,3.4,%,Southeast Asia,MYS
Malaysia,2023 Forecast (ADO Apr 2023),3.1,%,Southeast Asia,MYS
Malaysia,2023 Forecast (ADO Sep 2023),3,%,Southeast Asia,MYS
Malaysia,2024 Forecast (ADO Apr 2023),2.8,%,Southeast Asia,MYS
Malaysia,2024 Forecast (ADO Sep 2023),2.7,%,Southeast Asia,MYS
Myanmar,2020,5.7,%,Southeast Asia,MMR
Myanmar,2021,3.7,%,Southeast Asia,MMR
Myanmar,2022,18.4,%,Southeast Asia,MMR
Myanmar,2023 Forecast (ADO Apr 2023),10.5,%,Southeast Asia,MMR
Myanmar,2023 Forecast (ADO Sep 2023),14,%,Southeast Asia,MMR
Myanmar,2024 Forecast (ADO Apr 2023),8.2,%,Southeast Asia,MMR
Myanmar,2024 Forecast (ADO Sep 2023),8.2,%,Southeast Asia,MMR
Philippines,2020,2.4,%,Southeast Asia,PHL
Philippines,2021,3.9,%,Southeast Asia,PHL
Philippines,2022,5.8,%,Southeast Asia,PHL
Philippines,2023 Forecast (ADO Apr 2023),6.2,%,Southeast Asia,PHL
Philippines,2023 Forecast (ADO Sep 2023),6.2,%,Southeast Asia,PHL
Philippines,2024 Forecast (ADO Apr 2023),4,%,Southeast Asia,PHL
Philippines,2024 Forecast (ADO Sep 2023),4,%,Southeast Asia,PHL
Singapore,2020,-0.2,%,Southeast Asia,SGP
Singapore,2021,2.3,%,Southeast Asia,SGP
Singapore,2022,6.1,%,Southeast Asia,SGP
Singapore,2023 Forecast (ADO Apr 2023),5,%,Southeast Asia,SGP
Singapore,2023 Forecast (ADO Sep 2023),5,%,Southeast Asia,SGP
Singapore,2024 Forecast (ADO Apr 2023),2,%,Southeast Asia,SGP
Singapore,2024 Forecast (ADO Sep 2023),3,%,Southeast Asia,SGP
Thailand,2020,-0.8,%,Southeast Asia,THA
Thailand,2021,1.2,%,Southeast Asia,THA
Thailand,2022,6.1,%,Southeast Asia,THA
Thailand,2023 Forecast (ADO Apr 2023),2.9,%,Southeast Asia,THA
Thailand,2023 Forecast (ADO Sep 2023),2.5,%,Southeast Asia,THA
Thailand,2024 Forecast (ADO Apr 2023),2.3,%,Southeast Asia,THA
Thailand,2024 Forecast (ADO Sep 2023),2.3,%,Southeast Asia,THA
Timor-Leste,2020,0.5,%,Southeast Asia,TLS
Timor-Leste,2021,3.8,%,Southeast Asia,TLS
Timor-Leste,2022,7,%,Southeast Asia,TLS
Timor-Leste,2023 Forecast (ADO Apr 2023),5.5,%,Southeast Asia,TLS
Timor-Leste,2023 Forecast (ADO Sep 2023),5.8,%,Southeast Asia,TLS
Timor-Leste,2024 Forecast (ADO Apr 2023),2.8,%,Southeast Asia,TLS
Timor-Leste,2024 Forecast (ADO Sep 2023),3.3,%,Southeast Asia,TLS
Viet Nam,2020,3.2,%,Southeast Asia,VNM
Viet Nam,2021,1.8,%,Southeast Asia,VNM
Viet Nam,2022,3.2,%,Southeast Asia,VNM
Viet Nam,2023 Forecast (ADO Apr 2023),4.5,%,Southeast Asia,VNM
Viet Nam,2023 Forecast (ADO Sep 2023),3.8,%,Southeast Asia,VNM
Viet Nam,2024 Forecast (ADO Apr 2023),4.2,%,Southeast Asia,VNM
Viet Nam,2024 Forecast (ADO Sep 2023),4,%,Southeast Asia,VNM
The Pacific,2020,2.9,%,The Pacific,
The Pacific,2021,3.1,%,The Pacific,
The Pacific,2022,5.2,%,The Pacific,
The Pacific,2023 Forecast (ADO Apr 2023),5,%,The Pacific,
The Pacific,2023 Forecast (ADO Sep 2023),4.9,%,The Pacific,
The Pacific,2024 Forecast (ADO Apr 2023),4.4,%,The Pacific,
The Pacific,2024 Forecast (ADO Sep 2023),4.5,%,The Pacific,
Cook Islands,2020,0.7,%,The Pacific,COO
Cook Islands,2021,1.8,%,The Pacific,COO
Cook Islands,2022,4.2,%,The Pacific,COO
Cook Islands,2023 Forecast (ADO Apr 2023),7.7,%,The Pacific,COO
Cook Islands,2023 Forecast (ADO Sep 2023),13,%,The Pacific,COO
Cook Islands,2024 Forecast (ADO Apr 2023),2.3,%,The Pacific,COO
Cook Islands,2024 Forecast (ADO Sep 2023),2.3,%,The Pacific,COO
Federated States of Micronesia,2020,1,%,The Pacific,FSM
Federated States of Micronesia,2021,1.8,%,The Pacific,FSM
Federated States of Micronesia,2022,5,%,The Pacific,FSM
Federated States of Micronesia,2023 Forecast (ADO Apr 2023),3.6,%,The Pacific,FSM
Federated States of Micronesia,2023 Forecast (ADO Sep 2023),3.6,%,The Pacific,FSM
Federated States of Micronesia,2024 Forecast (ADO Apr 2023),0.4,%,The Pacific,FSM
Federated States of Micronesia,2024 Forecast (ADO Sep 2023),0.4,%,The Pacific,FSM
Fiji,2020,-2.6,%,The Pacific,FJI
Fiji,2021,0.2,%,The Pacific,FJI
Fiji,2022,4.3,%,The Pacific,FJI
Fiji,2023 Forecast (ADO Apr 2023),4.2,%,The Pacific,FJI
Fiji,2023 Forecast (ADO Sep 2023),3,%,The Pacific,FJI
Fiji,2024 Forecast (ADO Apr 2023),3.5,%,The Pacific,FJI
Fiji,2024 Forecast (ADO Sep 2023),3,%,The Pacific,FJI
Kiribati,2020,2.5,%,The Pacific,KIR
Kiribati,2021,2.1,%,The Pacific,KIR
Kiribati,2022,5,%,The Pacific,KIR
Kiribati,2023 Forecast (ADO Apr 2023),3.7,%,The Pacific,KIR
Kiribati,2023 Forecast (ADO Sep 2023),6,%,The Pacific,KIR
Kiribati,2024 Forecast (ADO Apr 2023),3,%,The Pacific,KIR
Kiribati,2024 Forecast (ADO Sep 2023),3,%,The Pacific,KIR
Marshall Islands,2020,-0.7,%,The Pacific,MHL
Marshall Islands,2021,2.2,%,The Pacific,MHL
Marshall Islands,2022,3.3,%,The Pacific,MHL
Marshall Islands,2023 Forecast (ADO Apr 2023),3.7,%,The Pacific,MHL
Marshall Islands,2023 Forecast (ADO Sep 2023),3.7,%,The Pacific,MHL
Marshall Islands,2024 Forecast (ADO Apr 2023),3.5,%,The Pacific,MHL
Marshall Islands,2024 Forecast (ADO Sep 2023),3.5,%,The Pacific,MHL
Nauru,2020,5.3,%,The Pacific,NRU
Nauru,2021,2,%,The Pacific,NRU
Nauru,2022,1,%,The Pacific,NRU
Nauru,2023 Forecast (ADO Apr 2023),2.5,%,The Pacific,NRU
Nauru,2023 Forecast (ADO Sep 2023),5.5,%,The Pacific,NRU
Nauru,2024 Forecast (ADO Apr 2023),1.9,%,The Pacific,NRU
Nauru,2024 Forecast (ADO Sep 2023),4.2,%,The Pacific,NRU
Niue,2020,2.6,%,The Pacific,NIU
Niue,2021,,%,The Pacific,NIU
Niue,2022,,%,The Pacific,NIU
Niue,2023 Forecast (ADO Apr 2023),,%,The Pacific,NIU
Niue,2023 Forecast (ADO Sep 2023),,%,The Pacific,NIU
Niue,2024 Forecast (ADO Apr 2023),,%,The Pacific,NIU
Niue,2024 Forecast (ADO Sep 2023),,%,The Pacific,NIU
Palau,2020,0.7,%,The Pacific,PLW
Palau,2021,0.5,%,The Pacific,PLW
Palau,2022,10.2,%,The Pacific,PLW
Palau,2023 Forecast (ADO Apr 2023),5,%,The Pacific,PLW
Palau,2023 Forecast (ADO Sep 2023),8,%,The Pacific,PLW
Palau,2024 Forecast (ADO Apr 2023),5.5,%,The Pacific,PLW
Palau,2024 Forecast (ADO Sep 2023),5,%,The Pacific,PLW
Papua New Guinea,2020,4.9,%,The Pacific,PNG
Papua New Guinea,2021,4.5,%,The Pacific,PNG
Papua New Guinea,2022,5.3,%,The Pacific,PNG
Papua New Guinea,2023 Forecast (ADO Apr 2023),5,%,The Pacific,PNG
Papua New Guinea,2023 Forecast (ADO Sep 2023),5,%,The Pacific,PNG
Papua New Guinea,2024 Forecast (ADO Apr 2023),5,%,The Pacific,PNG
Papua New Guinea,2024 Forecast (ADO Sep 2023),5,%,The Pacific,PNG
Samoa,2020,1.5,%,The Pacific,WSM
Samoa,2021,-3,%,The Pacific,WSM
Samoa,2022,8.8,%,The Pacific,WSM
Samoa,2023 Forecast (ADO Apr 2023),10.2,%,The Pacific,WSM
Samoa,2023 Forecast (ADO Sep 2023),12,%,The Pacific,WSM
Samoa,2024 Forecast (ADO Apr 2023),2,%,The Pacific,WSM
Samoa,2024 Forecast (ADO Sep 2023),5.3,%,The Pacific,WSM
Solomon Islands,2020,2.7,%,The Pacific,SLB
Solomon Islands,2021,-0.1,%,The Pacific,SLB
Solomon Islands,2022,5.5,%,The Pacific,SLB
Solomon Islands,2023 Forecast (ADO Apr 2023),4.5,%,The Pacific,SLB
Solomon Islands,2023 Forecast (ADO Sep 2023),5.5,%,The Pacific,SLB
Solomon Islands,2024 Forecast (ADO Apr 2023),3.7,%,The Pacific,SLB
Solomon Islands,2024 Forecast (ADO Sep 2023),3.7,%,The Pacific,SLB
Tonga,2020,0.2,%,The Pacific,TON
Tonga,2021,1.4,%,The Pacific,TON
Tonga,2022,8.5,%,The Pacific,TON
Tonga,2023 Forecast (ADO Apr 2023),9.4,%,The Pacific,TON
Tonga,2023 Forecast (ADO Sep 2023),10.3,%,The Pacific,TON
Tonga,2024 Forecast (ADO Apr 2023),1.5,%,The Pacific,TON
Tonga,2024 Forecast (ADO Sep 2023),4.5,%,The Pacific,TON
Tuvalu,2020,1.6,%,The Pacific,TUV
Tuvalu,2021,6.7,%,The Pacific,TUV
Tuvalu,2022,12.2,%,The Pacific,TUV
Tuvalu,2023 Forecast (ADO Apr 2023),3.3,%,The Pacific,TUV
Tuvalu,2023 Forecast (ADO Sep 2023),6.2,%,The Pacific,TUV
Tuvalu,2024 Forecast (ADO Apr 2023),2.8,%,The Pacific,TUV
Tuvalu,2024 Forecast (ADO Sep 2023),3.3,%,The Pacific,TUV
Vanuatu,2020,5.3,%,The Pacific,VUT
Vanuatu,2021,2.3,%,The Pacific,VUT
Vanuatu,2022,6.7,%,The Pacific,VUT
Vanuatu,2023 Forecast (ADO Apr 2023),4,%,The Pacific,VUT
Vanuatu,2023 Forecast (ADO Sep 2023),9,%,The Pacific,VUT
Vanuatu,2024 Forecast (ADO Apr 2023),3,%,The Pacific,VUT
Vanuatu,2024 Forecast (ADO Sep 2023),5,%,The Pacific,VUT
